Entry	Gene ontology IDs
KII72602	GO:0003676,  GO:0008270,  GO:0015074
KII74749	GO:0003676,  GO:0015074
EDO40337	GO:0004806,  GO:0005737,  GO:0005811,  GO:0016020,  GO:0019433,  GO:0055088
EDO39480	GO:0003723,  GO:0003968
KII72141	GO:0003723,  GO:0004525,  GO:0005524,  GO:0006396
EDO32187	
EDO31651	GO:0003723,  GO:0008168,  GO:0032259
EDO40404	GO:0005739,  GO:0016491,  GO:0045329
EDO42763	GO:0005737,  GO:0005813,  GO:0005880,  GO:0007098,  GO:0008017,  GO:0051225
EDO32961	GO:0005509
EDO42940	GO:0005524,  GO:0005525,  GO:0005737,  GO:0016887,  GO:0043022,  GO:0043023
EDO36090	
EDO49221	
EDO44035	GO:0000055,  GO:0000056,  GO:0005049,  GO:0005634,  GO:0005737,  GO:0046825
EDO44950	GO:0016021
EDO43949	GO:0000350,  GO:0005682,  GO:0046540,  GO:0071021,  GO:0071048
EDO45394	GO:0003700,  GO:0005634
EDO41297	GO:0005049,  GO:0005635,  GO:0005829,  GO:0006606,  GO:0006611,  GO:0008536
EDO34556	GO:0005615
EDO40843	GO:0000015,  GO:0000287,  GO:0004634,  GO:0006096
EDO41329	GO:0000012,  GO:0003684,  GO:0005634,  GO:0006284
EDO49797	GO:0005524
EDO43934	GO:0003723,  GO:0006446,  GO:0008494
EDO34876	GO:0005459,  GO:0005794,  GO:0030173
EDO39141	GO:0000139,  GO:0005096,  GO:0005789,  GO:0006886,  GO:0008270,  GO:0030127,  GO:0070971,  GO:0090110
EDO43053	GO:0016740,  GO:0046872
EDO49529	GO:0005868,  GO:0007018,  GO:0010970,  GO:0045503,  GO:0045504,  GO:2000582
EDO41855	
EDO41418	
EDO41419	
EDO29014	
EDO42961	GO:0000175
EDO43196	
EDO35563	
EDO35560	
EDO35561	
EDO46900	GO:0000184,  GO:0003723,  GO:0005737,  GO:0005844,  GO:0035145
